model,k,n_train,n_test,roc_auc,pr_auc,balanced_acc,f1,cm,precision,threshold,recall_hr,precision_hr,f1_hr,cm_hr,fold,k_label
logreg,8.0,615,153,0.7811320754716982,0.6471327331545904,0.6912264150943397,0.6176470588235294,"[[59, 41], [11, 42]]",0.5060240963855421,0.3435512492038134,0.8867924528301887,0.46534653465346537,0.6103896103896104,"[[46, 54], [6, 47]]",4,8
logreg,12.0,614,154,0.8540740740740741,0.7050510314595778,0.758888888888889,0.6885245901639344,"[[74, 26], [12, 42]]",0.6176470588235294,0.3273173881519706,0.9629629629629629,0.5416666666666666,0.6933333333333334,"[[56, 44], [2, 52]]",0,12
logreg,12.0,614,154,0.8601851851851852,0.7640281397122279,0.7603703703703704,0.6896551724137931,"[[78, 22], [14, 40]]",0.6451612903225806,0.33061747846612294,0.9074074074074074,0.5444444444444444,0.6805555555555556,"[[59, 41], [5, 49]]",1,12
logreg,12.0,614,154,0.8383333333333334,0.7339558267457109,0.7553703703703704,0.6837606837606838,"[[77, 23], [14, 40]]",0.6349206349206349,0.3689242023185368,0.8703703703703703,0.5465116279069767,0.6714285714285714,"[[61, 39], [7, 47]]",2,12
logreg,12.0,615,153,0.8147169811320756,0.7022167203082129,0.7290566037735848,0.6491228070175439,"[[76, 24], [16, 37]]",0.6065573770491803,0.355804309120118,0.8301886792452831,0.5176470588235295,0.6376811594202898,"[[59, 41], [9, 44]]",3,12
logreg,12.0,615,153,0.8092452830188679,0.6888191893351621,0.7262264150943396,0.6511627906976745,"[[66, 34], [11, 42]]",0.5526315789473685,0.343773936534884,0.9245283018867925,0.4666666666666667,0.620253164556962,"[[44, 56], [4, 49]]",4,12
logreg,,614,154,0.8520370370370369,0.7011683824529262,0.7731481481481481,0.7049180327868853,"[[75, 25], [11, 43]]",0.6323529411764706,0.3331388623492051,0.9259259259259259,0.5434782608695652,0.684931506849315,"[[58, 42], [4, 50]]",0,-1
logreg,,614,154,0.8653703703703705,0.7619252048415308,0.7838888888888889,0.717948717948718,"[[79, 21], [12, 42]]",0.6666666666666666,0.33530722522013895,0.9259259259259259,0.5813953488372093,0.7142857142857143,"[[64, 36], [4, 50]]",1,-1
logreg,,614,154,0.8424074074074074,0.7259810274008458,0.7561111111111112,0.6842105263157895,"[[79, 21], [15, 39]]",0.65,0.3465200682353816,0.8888888888888888,0.5517241379310345,0.6808510638297872,"[[61, 39], [6, 48]]",2,-1
logreg,,615,153,0.8252830188679245,0.7334743752173046,0.7384905660377359,0.6608695652173913,"[[76, 24], [15, 38]]",0.6129032258064516,0.3467695861889502,0.8490566037735849,0.5232558139534884,0.6474820143884892,"[[59, 41], [8, 45]]",3,-1
logreg,,615,153,0.8224528301886793,0.6906485226137519,0.7067924528301888,0.6307692307692307,"[[64, 36], [12, 41]]",0.5324675324675324,0.3526278889578072,0.9056603773584906,0.5052631578947369,0.6486486486486487,"[[53, 47], [5, 48]]",4,-1
